Date,xofficial,High,Low,Open,Volume
2024-10-25,1645.1300048828125,1658.1700439453125,1641.050048828125,1645.1300048828125,0
2024-10-28,1644.5,1642.760009765625,1629.0,1642.760009765625,0
2024-10-29,1642.2900390625,1682.0,1642.2900390625,1642.2900390625,0
2024-10-30,1647.6300048828125,1647.6300048828125,1640.68994140625,1647.6300048828125,0
2024-10-31,1646.1300048828125,1652.1600341796875,1641.239990234375,1646.1300048828125,0
2024-11-01,1642.2900390625,1646.1199951171875,1641.8599853515625,1642.2900390625,0
2024-11-04,1647.0,1645.8299560546875,1640.3299560546875,1641.739990234375,0
2024-11-05,1643.2900390625,1663.1400146484375,1643.2900390625,1643.2900390625,0
2024-11-06,1661.219970703125,1681.550048828125,1661.219970703125,1661.219970703125,0
2024-11-07,1672.9000244140625,1698.530029296875,1672.9000244140625,1672.9000244140625,0
2024-11-08,1681.030029296875,1682.7099609375,1671.8499755859375,1681.030029296875,0
2024-11-11,1667.5799560546875,1702.22998046875,1665.989990234375,1679.780029296875,0
2024-11-12,1672.77001953125,1679.27001953125,1664.1300048828125,1672.77001953125,0
2024-11-13,1672.1800537109375,1697.1300048828125,1672.1800537109375,1672.1800537109375,0
2024-11-14,1676.9599609375,1683.97998046875,1676.9599609375,1676.9599609375,0
2024-11-15,1679.4599609375,1679.4599609375,1661.4200439453125,1679.4599609375,0
2024-11-18,1665.3199462890625,1697.0,1662.4300537109375,1666.1300048828125,0
2024-11-19,1667.530029296875,1679.6600341796875,1658.5,1658.739990234375,0
2024-11-20,1678.8499755859375,1679.4599609375,1674.31005859375,1678.8499755859375,0
2024-11-21,1682.5400390625,1692.8599853515625,1677.760009765625,1680.0899658203125,0
2024-11-22,1693.6800537109375,1693.6800537109375,1684.800048828125,1684.800048828125,0
2024-11-25,1696.199951171875,1692.6400146484375,1679.3499755859375,1692.6400146484375,0
2024-11-26,1682.6300048828125,1682.6300048828125,1678.27001953125,1682.6300048828125,0
2024-11-27,1691.77001953125,1691.77001953125,1684.56005859375,1691.77001953125,0
2024-11-28,1689.530029296875,1689.530029296875,1684.56005859375,1684.56005859375,0
2024-11-29,1685.6500244140625,1685.6500244140625,1665.97998046875,1685.6500244140625,0
2024-12-02,1683.449951171875,1684.97998046875,1662.530029296875,1680.8199462890625,0
2024-12-03,1675.9599609375,1675.9599609375,1651.06005859375,1675.9599609375,0
2024-12-04,1657.6800537109375,1667.010009765625,1627.81005859375,1657.6800537109375,0
2024-12-05,1627.56005859375,1633.4200439453125,1593.25,1627.56005859375,0
2024-12-06,1605.9000244140625,1614.18994140625,1578.6300048828125,1605.9000244140625,0
2024-12-09,1578.6300048828125,1581.81005859375,1569.93994140625,1579.31005859375,0
2024-12-10,1574.2900390625,1576.81005859375,1569.93994140625,1574.2900390625,0
2024-12-11,1576.81005859375,1577.699951171875,1548.6500244140625,1576.81005859375,0
2024-12-12,1548.6500244140625,1551.7900390625,1538.050048828125,1540.06005859375,0
2024-12-13,1548.3699951171875,1550.72998046875,1540.1600341796875,1548.3699951171875,0
2024-12-16,1547.6099853515625,1551.5400390625,1538.31005859375,1539.1500244140625,0
2024-12-17,1541.9300537109375,1552.68994140625,1541.9300537109375,1541.9300537109375,0
2024-12-18,1552.5899658203125,1556.280029296875,1547.9000244140625,1552.5899658203125,0
2024-12-19,1555.6300048828125,1555.6300048828125,1544.9599609375,1544.9599609375,0
2024-12-20,1553.0699462890625,1555.93994140625,1536.9300537109375,1553.0699462890625,0
2024-12-23,1549.0400390625,1548.510009765625,1542.93994140625,1547.5699462890625,0
2024-12-24,1548.510009765625,1548.510009765625,1541.4300537109375,1548.510009765625,0
2024-12-25,1541.4300537109375,1541.4300537109375,1540.6600341796875,1541.4300537109375,0
2024-12-26,1540.6600341796875,1541.5799560546875,1540.6600341796875,1540.6600341796875,0
2024-12-27,1541.5799560546875,1552.0,1541.5799560546875,1541.5799560546875,0
2024-12-30,1548.27001953125,1549.199951171875,1542.7900390625,1548.5,0
2024-12-31,1545.5,1548.6800537109375,1542.7900390625,1545.5,0
2025-01-02,1545.5,1545.5799560546875,1540.8499755859375,1543.5799560546875,0
2025-01-03,1545.5799560546875,1550.219970703125,1543.6600341796875,1543.6600341796875,0
2025-01-06,1541.699951171875,1544.2099609375,1543.219970703125,1544.2099609375,0
2025-01-07,1543.219970703125,1545.52001953125,1533.1099853515625,1543.219970703125,0
2025-01-08,1540.5,1548.489990234375,1539.1300048828125,1540.5,0
2025-01-09,1541.6600341796875,1546.97998046875,1538.1400146484375,1541.6600341796875,0
2025-01-10,1547.02001953125,1550.969970703125,1533.1099853515625,1547.02001953125,0
